Município,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
240430 GOVERNADOR DIXSEPT ROSADO,,91,63,77,51,16,34,40,44,43,37,48,39,16,,3,,,,,2,,,1,2,,,607
240440 GROSSOS,,30,8,37,37,6,3,19,14,13,11,8,1,4,3,5,2,1,1,1,,2,,,,,,206
240450 GUAMARE,,15,17,29,24,34,24,15,10,5,1,93,115,130,105,83,100,88,92,81,67,198,246,228,273,243,254,2570
240460 IELMO MARINHO,1,,,,4,2,,1,,7,2,3,1,2,1,2,,2,,1,,,,4,4,2,,39
240470 IPANGUACU,,75,19,1,,,,1,1,3,,,,,,,,,,,,,1,3,3,,2,109
240480 IPUEIRA,,,,,,,13,14,4,13,12,,,,,,,,,,,,1,,,,,57
240485 ITAJA,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,1,5
240490 ITAU,,108,79,58,76,43,27,27,56,63,36,46,40,32,22,27,18,12,3,4,1,,,1,,,,779
240500 JACANA,,47,91,105,102,105,83,116,114,87,83,71,50,24,31,32,20,15,1,18,13,5,,,4,,5,1222
240510 JANDAIRA,,,2,41,51,79,45,40,31,30,8,6,4,,3,1,2,2,2,,,,1,1,2,2,1,354
240520 JANDUIS,,110,81,57,84,70,45,55,76,57,41,42,33,17,30,16,5,7,2,6,2,3,1,2,2,1,,845
240530 JANUARIO CICCO,,39,150,170,176,136,158,131,133,92,97,72,47,65,63,22,20,35,16,2,5,,3,5,1,3,2,1643
240540 JAPI,,28,2,9,4,5,8,2,5,,,1,,,,,,1,,,,,1,1,,,4,71
240550 JARDIM DE ANGICOS,,22,3,,,,3,,,,3,,,,,,,1,,,,,,,,,,32
240560 JARDIM DE PIRANHAS,,97,53,35,25,22,5,87,51,42,13,79,105,59,40,45,40,21,5,,,,49,,2,2,1,878
240570 JARDIM DO SERIDO,,299,262,271,213,239,182,181,108,125,96,103,109,97,71,81,106,115,94,78,77,82,67,67,65,55,75,3318
240580 JOAO CAMARA,2,737,709,807,961,980,951,676,642,809,745,738,823,821,1028,961,904,813,548,335,224,292,175,90,85,62,36,15954
240590 JOAO DIAS,,7,5,2,1,,,,,,,,,,,,,,,1,,,,,,,,16
240600 JOSE DA PENHA,,92,50,42,33,53,26,24,7,1,3,31,33,8,1,,2,,1,,,1,,,,,,408
240610 JUCURUTU,1,275,262,468,470,468,323,453,401,410,433,285,242,211,292,248,245,270,237,300,291,289,213,186,166,166,103,7708
240615 JUNDIA,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,3
240620 LAGOA D'ANTA,,,3,,,,1,1,46,24,40,43,15,40,28,8,,3,1,4,7,2,4,1,3,2,3,279
240630 LAGOA DE PEDRAS,49,58,20,5,43,51,32,19,8,3,,1,2,1,1,,,,,,,,,1,,,,294
240640 LAGOA DE VELHOS,,1,2,4,1,,,1,,2,,1,,,,,,,,,,,,,,,1,13
240650 LAGOA NOVA,,125,90,104,65,59,33,25,25,65,160,178,172,174,125,129,96,114,78,80,77,87,60,70,22,26,5,2244
240660 LAGOA SALGADA,84,71,16,44,17,58,4,,,,3,15,,2,,,,,1,2,,,,2,,2,2,323
240670 LAJES,,192,130,127,200,154,200,254,264,200,166,180,167,127,157,163,130,59,10,73,65,64,39,25,50,26,8,3230
240680 LAJES PINTADAS,,1,1,5,2,1,,,,,,1,,,,,,,1,1,,1,,,,1,,15
240690 LUCRECIA,,15,31,36,35,35,13,29,49,35,28,30,16,,6,12,9,4,,4,1,11,2,2,1,1,1,406
240700 LUIS GOMES,,223,144,138,119,100,129,113,97,130,123,106,111,66,39,42,34,21,16,9,10,9,1,,1,,,1781
240710 MACAIBA,1237,1222,814,875,1511,1246,1580,1153,1051,870,780,584,475,328,307,455,486,234,,5,6,11,402,479,1517,2361,1607,21596
240720 MACAU,2,1270,1247,1021,1125,685,1096,1033,1032,840,1092,914,387,373,427,366,677,276,293,217,958,738,349,258,209,230,67,17182
240725 MAJOR SALES,,,,11,13,23,27,31,32,28,39,32,27,14,6,9,4,5,2,4,,,2,,,,,309
240730 MARCELINO VIEIRA,,106,113,90,97,79,60,44,42,23,40,22,20,9,5,3,,,,,,,,,,,,753
240740 MARTINS,,226,213,200,155,137,157,163,157,146,143,154,93,107,120,104,41,,,1,2,,2,,1,1,,2323
240750 MAXARANGUAPE,,17,35,70,101,95,76,3,1,,,,,,,,,,,,,,,1,1,,1,401
240760 MESSIAS TARGINO,,45,67,91,72,55,44,90,73,61,70,24,17,5,35,25,15,5,2,,2,1,8,3,2,,,812
240770 MONTANHAS,128,104,82,79,129,107,46,3,1,,21,,26,11,1,3,,2,1,,1,,2,3,6,6,4,766
240780 MONTE ALEGRE,207,356,236,452,247,230,242,241,406,364,221,310,103,226,265,259,142,140,99,89,105,26,32,14,20,3,10,5045
240790 MONTE DAS GAMELEIRAS,8,,,,1,,,23,27,38,30,33,33,19,16,9,4,1,,3,1,2,,1,1,,1,251
240800 MOSSORO,1,6493,5915,5686,5677,5734,5062,5659,5882,5659,5693,5715,5486,6043,6159,6149,5894,5996,6122,6268,6438,6874,6727,7138,7649,7416,7514,161049
240810 NATAL,22540,22685,22738,22073,21560,22524,22015,20387,19416,20464,19393,20216,18737,18183,19618,18375,18523,19912,21363,20762,20729,22267,20250,20943,20352,16777,17472,550274
240820 NISIA FLORESTA,1,1,,4,,,16,2,,,1,1,3,3,2,2,1,2,,2,,1,,4,2,1,7,56
240830 NOVA CRUZ,490,565,708,263,258,301,276,442,474,503,541,643,733,658,472,471,381,137,7,19,15,35,97,89,42,48,44,8712
240840 OLHOD'AGUA DO BORGES,,94,64,92,77,86,73,39,38,25,28,21,13,14,7,6,1,,1,,,1,,,1,,,681
240850 OURO BRANCO,16,2,11,20,10,33,41,38,31,32,24,20,12,25,18,24,21,24,17,9,4,4,2,6,,,,444
240860 PARANA,,3,4,29,16,11,1,,,,,,,,,,,,,,,,,,,,,64
240870 PARAU,,3,10,35,30,23,9,22,18,11,6,17,5,8,7,4,1,2,4,2,3,2,2,,,1,,225
240880 PARAZINHO,1,81,75,65,66,91,62,80,75,56,52,50,28,,2,,,,,18,5,3,,,1,,,811
240890 PARELHAS,,491,488,611,530,483,486,464,418,391,402,448,405,378,363,366,304,258,403,393,398,434,391,371,391,326,391,10784
240895 RIO DO FOGO,,,,1,,,5,12,6,13,17,9,,3,5,3,,,2,1,,,1,2,1,6,3,90
240910 PASSA E FICA,91,73,68,63,82,84,104,75,66,43,140,93,141,117,99,132,201,213,205,158,127,87,51,33,28,32,10,2616
240920 PASSAGEM,2,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,5
