1994 25133
1995 25337
1996 25110
1997 24421
1998 25321
1999 26488
2000 25939
2001 23990
2002 23242
2003 24212
2004 23620
2005 24486
2006 23025
2007 22571
2008 24799
2009 23934
2010 24441
2011 25041
2012 25394
2013 25150
2014 24989
2015 26219
2016 24245
2017 24834
2018 25345
2019 22374
2020 21977
