1994 30219
1995 60324
1996 58143
1997 57409
1998 57748
1999 58249
2000 56578
2001 53657
2002 53343
2003 52499
2004 50976
2005 52459
2006 48323
2007 48444
2008 50246
2009 49445
2010 48217
2011 48724
2012 47528
2013 47267
2014 48635
2015 49527
2016 45909
2017 46709
2018 48641
2019 44623
2020 44084
